,1900,1910,1921,1930,1940,1951,1961,1971,1981,1991,2001,2011
Napoli,0,0,0,-2,0,0,0,0,0,0,0,0
Milano,1,0,0,0,0,0,0,0,0,0,0,0
Roma,2,0,0,2,0,0,0,0,0,0,0,0
Torino,3,0,0,-1,1,0,-1,1,0,0,0,0
Palermo,4,0,0,-1,0,0,0,0,0,1,0,0
Genova,5,0,0,2,-1,0,1,-1,0,-1,0,0
Firenze,6,0,0,0,-1,1,0,-1,0,0,0,0
Bologna,7,-2,0,0,3,-1,0,1,0,0,0,0
Venezia,8,-2,-1,4,-2,1,0,-1,-1,0,0,0
Messina,9,-2,1,-1,-1,0,0,0,0,1,-1,0
Catania,10,2,1,-3,2,-1,-1,2,0,-1,0,0
Trieste,11,4,-1,0,-3,0,2,-2,-2,-1,1,-1
Livorno,12,0,0,-3,-3,1,2,-2,-4,-1,0,-1
Ferrara,13,-2,0,-3,-10,8,2,-11,3,-6,4,-1
Padova,14,0,0,0,0,-1,1,-2,1,0,1,1
Bari,15,2,0,1,2,0,-1,1,1,1,0,0
Lucca,16,-3,-4,-4,-36,33,3,-56,29,3,-8,-1
Verona,17,0,-1,5,0,0,0,-1,3,-1,1,0
Alessandria,18,-2,-4,-1,-23,15,4,3,-23,-18,11,4
Brescia,19,3,-1,0,0,1,0,-2,1,0,1,0
La Spezia,20,-1,1,1,-6,2,2,0,-15,-6,-8,0
Modena,21,-2,2,-1,2,-2,0,-2,5,-1,2,-1
Ravenna,22,0,-4,-3,-25,26,0,-35,35,-22,23,3
Pistoia,23,-3,-3,-3,-34,31,3,-61,28,-3,11,2
Perugia,24,-3,2,-3,-15,16,1,-41,40,-6,9,3
Pisa,25,-4,1,-2,-5,-1,5,-8,-5,0,-10,-3
Taranto,26,1,9,-4,4,2,-5,6,-1,1,-2,0
Trapani,27,-5,5,-19,-26,31,-3,-6,-27,-10,8,-2
Reggio nellEmilia,28,4,2,-1,-14,13,1,-9,2,-5,10,3
Marsala,29,1,-6,-16,NA,10,-8,NA,-18,4,-3,1
Ancona,30,0,0,6,-7,0,7,-14,-4,4,-3,-3
Cagliari,31,0,-2,12,6,-3,-2,5,-1,0,-4,-6
Foggia,32,14,-1,-30,26,-3,-21,24,-2,1,1,-2
Alcamo,33,-52,19,7,NA,NA,-27,-2,NA,NA,NA,NA
Prato,34,1,1,-1,11,-15,3,-7,18,0,4,2
Andria,35,-3,-8,-9,-5,6,2,5,-9,-2,15,-3
Parma,36,-4,1,8,12,-2,-12,13,0,-1,0,1
Modica,37,3,-19,-21,NA,NA,-15,NA,NA,NA,NA,NA
Capannori,38,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bergamo,39,4,4,5,0,1,0,3,-11,3,-4,-1
Novara,40,3,-5,3,3,-14,4,18,-18,7,-1,-1
Caltagirone,41,-15,-11,-18,NA,-10,11,NA,NA,NA,NA,NA
Vicenza,42,6,1,-2,8,-5,-1,-2,0,3,-3,-2
Reggio di Calabria,43,-11,17,21,-8,5,2,-10,5,3,2,-1
Arezzo,44,-2,-4,-1,-23,21,3,-36,19,1,17,4
Forli,45,-2,-2,5,-14,20,0,-13,12,-10,14,-1
Caltanissetta,46,-13,23,-35,-21,29,0,-6,-18,7,-11,-7
Rimini,47,6,0,0,3,-1,0,-5,13,0,2,2
Salerno,48,0,0,6,21,-8,-8,12,1,-1,-1,-2
Monza,49,10,-1,-3,13,-12,-1,9,2,4,-4,-1
Cesena,50,1,2,0,-33,33,-2,-9,-12,0,18,4
Carrara,51,8,-2,-3,-20,6,11,NA,-28,4,-9,-4
Barletta,52,1,-6,-8,4,4,-2,10,-9,6,4,-5
Corato,53,3,NA,-22,NA,-13,9,NA,NA,NA,NA,NA
Faenza,54,-9,NA,-6,NA,-13,12,-26,NA,NA,NA,NA
Molfetta,55,2,-5,-10,-5,5,2,7,-15,-5,-8,NA
Como,56,4,-3,2,12,-7,-10,2,5,-2,-11,5
Savona,57,15,-2,-1,-12,5,11,-14,-18,1,-23,0
Sassari,58,3,-8,7,14,-7,-5,14,6,5,-2,1
Asti,59,-7,7,-5,-13,2,7,16,-20,-9,10,0
Udine,60,15,2,9,-5,-5,-1,9,-11,1,0,-1
Cremona,61,-1,24,0,-18,5,9,-12,-14,3,-9,-1
Piacenza,62,-5,6,26,1,-9,3,5,-5,-1,-3,1
Pavia,63,-2,0,5,11,-10,-2,15,-11,-2,-14,-5
Acireale,64,-7,NA,-13,NA,NA,-6,NA,NA,NA,NA,NA
Cerignola,65,1,NA,NA,NA,-13,NA,-10,NA,NA,NA,NA
San Pier d'Arena,66,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Treviso,67,7,9,-3,9,-15,4,14,-13,-1,-5,-2
Torre del Greco,68,-1,5,-2,16,-6,-6,0,17,2,-10,-5
Imola,69,-4,NA,NA,NA,-13,NA,NA,NA,NA,1,0
Castellammare di Stabia,70,-6,7,-4,8,-2,-5,-3,4,-3,-8,-7
Lecce,71,1,2,-2,17,-5,-9,19,-13,21,-18,9
Caserta,72,-6,6,14,-23,-8,25,-9,-13,13,6,-2
Vittoria,73,-13,NA,NA,-10,0,NA,6,NA,-8,NA,4
Siracusa,74,13,9,-9,15,1,-12,14,8,8,-3,-1
Ragusa,75,7,6,0,-24,7,14,-6,-10,10,-6,4
Catanzaro,76,2,3,-7,27,-13,-10,-10,36,11,-8,-9
Trani,77,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casale Monferrato,78,3,NA,NA,NA,NA,NA,-14,NA,NA,NA,NA
Vercelli,79,-5,NA,2,4,-21,14,19,NA,NA,NA,NA
Bisceglie,80,3,NA,NA,NA,NA,NA,-18,NA,NA,NA,NA
Terni,81,2,23,16,8,0,-4,-17,15,-9,9,-2
Bitonto,82,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chioggia,83,11,NA,-11,NA,3,2,NA,NA,NA,NA,NA
San Severo,84,2,NA,NA,-9,10,NA,3,-17,NA,NA,NA
Cortona,85,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mantova,86,5,11,-5,4,0,-10,17,-33,NA,NA,NA
Ascoli Piceno,87,-4,16,-13,NA,0,1,NA,NA,NA,NA,NA
Siena,88,30,-2,-7,-16,9,5,-5,-19,0,NA,NA
Cuneo,89,-7,20,-14,NA,NA,-2,16,NA,NA,NA,NA
Massa,90,0,16,-6,5,-3,-1,-2,-1,5,-6,3
Chieti,91,NA,11,-13,-6,NA,1,NA,NA,3,NA,NA
Adrano,92,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cascina,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enna,94,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorizia,95,6,5,21,NA,NA,-8,NA,NA,NA,NA,NA
Pesaro,96,NA,18,1,10,-3,-7,-3,16,3,10,0
Torre Annunziata,97,10,33,18,-40,0,46,-30,-23,NA,NA,NA
Agrigento,98,NA,19,-19,NA,NA,3,13,-17,0,NA,NA
Trento,99,5,21,21,8,-17,8,-19,13,2,18,1
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza Armerina,NA,-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canicatti,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
