city,1900,city,1910,city,1920,city,1930,city,1940,city,1950,city,1960,city,1970,city,1980,city,1990,city,2000,city,2010
Valle de Mexico,691502,Valle de Mexico,970863,Valle de Mexico,1306198,Valle de Mexico,1829623,Valle de Mexico,2557528,Valle de Mexico,3872333,Valle de Mexico,6870945,Valle de Mexico,8909165,Valle de Mexico,10831079,Valle de Mexico,15563795,Valle de Mexico,18396677,Valle de Mexico,20116842
Guadalajara,101269,Guadalajara,119589,Guadalajara,143463,Guadalajara,179693,Guadalajara,229259,Guadalajara,1401309,Guadalajara,1580652,Guadalajara,2448401,Guadalajara,2840963,Guadalajara,3058220,Guadalajara,3800629,Guadalajara,4671087
Puebla - Tlaxcala,93511,Puebla - Tlaxcala,96164,Puebla - Tlaxcala,95516,Monterrey,132603,Monterrey,186131,Monterrey,1154112,Monterrey,1397100,Monterrey,1858159,Monterrey,2100216,Monterrey,2729358,Monterrey,3426352,Monterrey,4319672
Leon,63305,Monterrey,78580,Monterrey,88541,Puebla - Tlaxcala,114883,Puebla - Tlaxcala,138560,Torreon - Gomez Palacio,231687,Puebla - Tlaxcala,288013,Juarez,407468,Puebla - Tlaxcala,871143,Puebla - Tlaxcala,1776884,Puebla - Tlaxcala,2269995,Puebla - Tlaxcala,2728790
Monterrey,62358,San Luis Potosi,68062,Merida,79244,Merida,95062,Merida,96929,Puebla - Tlaxcala,226679,Juarez,261727,Puebla - Tlaxcala,401623,Leon,655809,Toluca,1156444,Toluca,1605571,Toluca,2014091
San Luis Potosi,61028,Merida,62439,Torreon - Gomez Palacio,71797,Torreon - Gomez Palacio,90099,Aguascalientes,82285,Merida,142958,Torreon - Gomez Palacio,240846,Leon,365013,Toluca,652022,Leon,983050,Tijuana,1352035,Tijuana,1751430
Acayucan,43853,Torreon - Gomez Palacio,58381,San Luis Potosi,57427,San Luis Potosi,74029,Tampico,81380,San Luis Potosi,131782,Leon,209518,Torreon - Gomez Palacio,302900,Juarez,567365,Torreon - Gomez Palacio,929270,Leon,1269179,Leon,1609504
Merida,43653,Leon,57702,Veracruz,54278,Tampico,68154,San Luis Potosi,77211,Leon,122705,Mexicali,172626,Tijuana,277383,Culiacan,560011,Tijuana,798938,Juarez,1218817,Juarez,1332131
Guanajuato,41596,Veracruz,48696,Leon,53696,Veracruz,67869,Torreon - Gomez Palacio,75841,Juarez,122661,Merida,170580,Mexicali,263574,Mexicali,510664,Juarez,798499,Torreon - Gomez Palacio,1053743,Torreon - Gomez Palacio,1271493
Pachuca,37567,Aguascalientes,45276,Aguascalientes,48092,Leon,63452,Leon,74280,Veracruz,101272,San Luis Potosi,159695,Chihuahua,257094,Durango,501159,Merida,688995,Queretaro,911965,Queretaro,1232712
Morelia,37309,Morelia,40019,Tampico,44842,Aguascalientes,62269,Veracruz,71724,Tampico,99463,Tijuana,151923,San Luis Potosi,230027,Tijuana,461257,San Luis Potosi,677855,Merida,911097,Merida,1130759
Aguascalientes,35195,Chihuahua,39792,Pachuca,40882,Chihuahua,45672,Chihuahua,56885,Aguascalientes,93426,Chihuahua,149475,Veracruz,214145,Hermosillo,432611,Acapulco,653973,San Luis Potosi,872790,San Luis Potosi,1065039
Oaxaca,35066,Pachuca,39035,Saltillo,40510,Saltillo,45301,Pachuca,53455,Chihuahua,87073,Veracruz,144233,Merida,212931,Merida,424529,Tampico,648598,Cuernavaca,884696,Cuernavaca,1022752
Queretaro,33245,Oaxaca,38018,Orizaba,39614,Pachuca,43060,Saltillo,49412,Saltillo,69824,Aguascalientes,126255,Acapulco,181387,Acapulco,409335,Queretaro,651074,Acapulco,791558,Mexicali,936826
Zacatecas - Guadalupe,32903,Guanajuato,35797,Durango,39135,Orizaba,42915,Juarez,48959,Mexicali,65718,Tampico,122248,Aguascalientes,181370,Chihuahua,406830,Mexicali,601938,Mexicali,764602,Aguascalientes,932369
Orizaba,32463,Saltillo,35481,Chihuahua,37126,Toluca,41261,Orizaba,47935,Morelia,65058,Saltillo,115470,Tampico,180067,San Luis Potosi,406630,Culiacan,601123,Tampico,746417,Acapulco,863431
Durango,31140,Orizaba,35399,Toluca,34389,Morelia,39997,Morelia,44316,Tijuana,60053,Morelia,100394,Hermosillo,176621,Cuernavaca,400247,Cuernavaca,652553,Culiacan,745537,Tampico,859419
Chihuahua,30459,Queretaro,33175,Morelia,31140,Juarez,39733,Toluca,43426,Durango,59964,Durango,97339,Culiacan,168013,Queretaro,393226,Veracruz,580016,Aguascalientes,727582,Culiacan,858638
Torreon - Gomez Palacio,30066,Durango,31872,Queretaro,30129,Ciudad Jimenez,39701,Xalapa,39580,Pachuca,58795,Hermosillo,96141,Ciudad Obregon,166031,Tampico,391534,Chihuahua,551868,Veracruz,708474,Chihuahua,852533
Veracruz,29272,Toluca,31089,Colima - Villa de Alvarez,28363,Xalapa,36844,Queretaro,33694,Rioverde,58456,Nuevo Laredo,93897,Morelia,162552,Aguascalientes,359454,Aguascalientes,547366,Chihuahua,696495,Veracruz,834256
Puruandiro,27779,Zacatecas - Guadalupe,25999,Oaxaca,27881,Durango,36302,Durango,33446,Nuevo Laredo,57765,Heroica Matamoros,93324,Saltillo,161116,Morelia,353055,Morelia,542985,Morelia,679109,Morelia,829625
Rioverde,26131,Colima - Villa de Alvarez,25131,Xalapa,27688,Oaxaca,33465,Irapuato,32482,Orizaba,55506,Culiacan,84639,Durango,150578,Celaya,349612,Saltillo,486580,Saltillo,637273,Saltillo,823128
Toluca,25915,Xalapa,23698,Mazatlan,25367,Queretaro,32693,Mazatlan,32117,Toluca,53556,Irapuato,83597,Nuevo Laredo,148973,Torreon - Gomez Palacio,346471,Celaya,480224,Hermosillo,609829,Hermosillo,784342
Celaya,25669,Celaya,23109,Celaya,24066,Mazatlan,29411,Ciudad Madero,31598,Xalapa,51223,Toluca,76967,Heroica Matamoros,137715,Xalapa,322154,Xalapa,461108,Villahermosa,600580,Villahermosa,755425
Saltillo,24091,El Oro de Hidalgo,21886,Irapuato,20737,Irapuato,29366,Oaxaca,29365,Culiacan,49997,Mazatlan,74988,Reynosa,137442,Saltillo,321758,Hermosillo,448966,Xalapa,591053,Tuxtla Gutierrez,738261
Tuxtla Gutierrez,22623,Irapuato,21579,Juarez,19551,Nueva Rosita,25647,Nuevo Laredo,28952,Irapuato,49449,Reynosa,74143,Cuernavaca,134115,Poza Rica,307767,Poza Rica,445934,Celaya,577992,Reynosa,727150
San Juan del Rio,21318,Mazatlan,21288,Guanajuato,19416,Celaya,24524,Tehuantepec - Salina Cruz,28604,Queretaro,49429,Oaxaca,72356,Xalapa,122407,Veracruz,305456,Villahermosa,437567,Tuxtla Gutierrez,565808,Xalapa,711139
Colima - Villa de Alvarez,20745,Atlixco,20023,San Pedro,18252,Ciudad Madero,21714,Celaya,29510,Salvatierra,49154,Orizaba,69790,Poza Rica,120526,Villahermosa,294883,Durango,413835,Reynosa,524692,Celaya,690442
Xalapa,20424,Tehuantepec - Salina Cruz,18582,Ciudad Victoria,17200,Nuevo Laredo,21668,Nueva Rosita,25618,Puruandiro,47769,Ciudad Obregon,68058,Mazatlan,119606,Reynosa,291588,Tuxtla Gutierrez,397602,Oaxaca,508593,Cancun,677379
Irapuato,19649,Cananea,18084,Campeche,16918,Colima - Villa de Alvarez,21133,Villahermosa,25108,Oaxaca,46674,Queretaro,67378,Irapuato,116789,Ciudad Obregon,255845,Reynosa,376676,Durango,491436,Oaxaca,619367
Zapotlanejo,18881,Ciudad Guzman,17175,Ciudad Guzman,16900,Campeche,20127,Fresnillo,24605,Heroica Matamoros,45806,Xalapa,66305,Campeche,114407,Ahome,254681,Oaxaca,366327,Poza Rica,467258,Durango,582267
