city,1901,city,1911,city,1921,city,1931,city,1941,city,1951,city,c1961,city,c1971,city,c1981,city,c1991,city,2002,city,2011
Montreal,267714,Montreal,470590,Montreal,618555,Montreal,818666,Montreal,903058,Montreal,1094419,Montreal,2157943,Montreal,2808595,Toronto,3498967,Toronto,4293065,Toronto ,5004011,Toronto,5852602
Toronto,208083,Toronto,376524,Toronto,521928,Toronto,631201,Toronto,667516,Toronto,662132,Toronto,1824506,Toronto,2609638,Montreal,2923264,Montreal,3209116,Montreal ,3654167,Montreal,4031844
Quebec,68845,Winnipeg,136052,Winnipeg,179196,Vancouver,246654,Vancouver,275444,Vancouver,362005,Vancouver,790263,Vancouver,1071143,Vancouver,1468211,Vancouver,1857766,Vancouver ,2098170,Vancouver,2419030
Ottawa,59917,Vancouver,100445,Vancouver,117249,Winnipeg,218830,Winnipeg,222053,Edmonton,324031,Edmonton,537695,Edmonton,690853,Ottawa,793315,Ottawa,956743,Ottawa ,1126321,Ottawa,1303536
Hamilton,52638,Ottawa,87116,Hamilton,114227,Quebec,130643,Edmonton,173846,Winnipeg,256739,Winnipeg,476031,Ottawa,596295,Edmonton,657127,Calgary,768650,Calgary ,1007469,Calgary,1300352
Winnipeg,42375,Hamilton,82096,Ottawa,107894,Ottawa,126964,Hamilton,166324,Hamilton,237708,Ottawa,429872,Winnipeg,534775,Calgary,626020,Quebec,708728,Edmonton ,984555,Edmonton,1234370
Halifax,40822,Quebec,78722,Quebec,95224,Edmonton,119267,Ottawa,155059,Ottawa,215195,Hamilton,395294,North York,504537,Quebec,619763,Edmonton,700471,Hamilton ,697023,Quebec,783564
St. Johns,40740,Edmonton,49973,Edmonton,88870,Hamilton,115599,Quebec,150855,Calgary,177938,Quebec,357634,Hamilton,495913,Winnipeg,584836,Winnipeg,652417,Winnipeg,619540,Winnipeg,756937
London,38090,Halifax,46699,Calgary,63312,Calgary,83879,Windsor,105339,North York,168622,Calgary,279183,Quebec,476226,North York,559591,Hamilton,643286,Mississauga ,612925,Hamilton,748208
Edmonton,27034,London,46393,London,61052,London,71041,Calgary,88927,Quebec,167023,Windsor,193405,Calgary,403326,Hamilton,529406,North York,562694,Quebec ,476330,Kitchener,517328
Vancouver,26111,Calgary,43703,Halifax,58482,Windsor,63136,London,78395,Scarborough,139181,Halifax,183936,Scarborough,332153,Scarborough,443446,Scarborough,524616,London ,458586,London,439584
Victoria,20869,St. Johns,42583,St. Johns,47207,Verdun,60772,Halifax,70570,Windsor,120597,London,181353,Saint Catharines,303453,Mississauga,315121,Mississauga,463443,Kitchener ,439937,Niagara Falls,404524
Kingston,18070,Victoria,31758,Verdun,42291,Halifax,59340,Verdun,67346,Etobicoke,103104,Kitchener,154923,London,284548,Saint Catharines,304463,London,419584,Niagara Falls ,394772,Halifax,404389
Brantford,15799,Regina,30213,Victoria,38723,Regina,53218,Regina,58236,London,100671,Victoria,154226,Etobicoke,282232,Etobicoke,298727,Kitchener,378687,Halifax ,374410,Oshawa,372378
Cambridge,15066,Thunder Bay,27719,Windsor,38641,St. Johns,47506,Thunder Bay,55078,Halifax,90956,Saguenay,133294,Windsor,258600,Kitchener,287871,Saint Catharines,364610,Surrey ,347825,Victoria,358422
Windsor,12018,Verdun,25086,Thunder Bay,35478,Thunder Bay,46180,St. Johns,51754,Regina,88881,Regina,126722,Laval,228150,London,283729,Niagara Falls,351539,Laval ,343005,Windsor,329884
Charlottetown,11476,Brantford,23008,Regina,34475,Saskatoon,41772,Victoria,44130,Verdun,77638,Saskatoon,112732,Kitchener,224420,Halifax,277756,Halifax,325526,Victoria ,328301,Saskatoon,280764
Hull,11309,New Westminster,20045,Brantford,29430,Victoria,39108,Saskatoon,43083,Thunder Bay,76673,Sudbury,110748,Halifax,220438,Laval,268318,Laval,314426,Brampton ,325428,Sherbrooke,206578
